Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
241832.51857757568,19.953178100460036,201,800,120
228842.1869277954,18.162078327602806,210,800,120
202340.17372131348,15.328801039493445,220,800,120
286346.0063934326,20.749710608219754,230,800,120
417669.05784606934,29.004795683754814,240,800,120
449668.64585876465,29.977909723917644,250,800,120
469517.70782470703,30.09728896312225,260,800,120
234645.24745941162,14.484274534531583,270,800,120
394788.21754455566,23.499298663366407,280,800,120
428984.97581481934,24.654308954874676,290,800,120
423904.6812057495,23.550260066986084,300,800,120
270556.8075180054,14.546064920322868,310,800,120
533536.7918014526,27.788374572992325,320,800,120
510261.34490966797,25.770774995437776,330,800,120
554337.8591537476,27.173424468320956,340,800,120
536924.3383407593,25.56782563527425,350,800,120
336561.2506866455,15.581539383640996,360,800,120
491641.33071899414,22.146005888242982,370,800,120
493020.8921432495,21.623723339616205,380,800,120
560676.2886047363,23.960525154048565,390,800,120
418693.32790374756,17.445555329322815,400,800,120
647003.1976699829,26.300942994714752,410,800,120
593568.0866241455,23.554289151751806,420,800,120
460632.6103210449,17.85397714422655,430,800,120
641880.2738189697,24.313646735567033,440,800,120
677064.7287368774,25.07647143469916,450,800,120
810471.8208312988,29.36492104461228,460,800,120
615718.7700271606,21.833998937133355,470,800,120
599698.9250183105,20.82287934091356,480,800,120
735724.8067855835,25.024653292026652,490,800,120
575693.7980651855,19.18979326883952,500,800,120
804878.0918121338,26.303205614775614,510,800,120
904875.2307891846,29.0024112432431,520,800,120
949363.0647659302,29.85418442660158,530,800,120
944031.0001373291,29.13675926349781,540,800,120
824099.3738174438,24.972708297498297,550,800,120
849322.7005004883,25.277461324419292,560,800,120
783151.8888473511,22.899178036472257,570,800,120
964271.9268798828,27.708963416088583,580,800,120
946326.1842727661,26.7323780868013,590,800,120
1013267.9462432861,28.146331840091282,600,800,120
