Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
419694.447517395,25.971191059244738,201,800,160
354530.668258667,21.1030159677778,210,800,160
468469.2144393921,26.617569002238184,220,800,160
483672.28507995605,26.28653723260631,230,800,160
496564.1260147095,25.86271489659945,240,800,160
545361.9480133057,27.268097400665283,250,800,160
573616.0278320312,27.57769364577073,260,800,160
573820.7578659058,26.565775827125265,270,800,160
595888.2331848145,26.602153267179215,280,800,160
635908.7467193604,27.409859772386227,290,800,160
637543.3683395386,26.56430701414744,300,800,160
663025.0930786133,26.734882785427953,310,800,160
569148.6597061157,22.232369519770145,320,800,160
631006.4077377319,23.901757868853483,330,800,160
723032.4506759644,26.582075392498687,340,800,160
751172.2326278687,26.827579736709595,350,800,160
769608.3784103394,26.722513139247894,360,800,160
801735.7110977173,27.085665915463427,370,800,160
812109.6134185791,26.714132020347996,380,800,160
867817.8310394287,27.81467407177656,390,800,160
606071.0668563843,18.93972083926201,400,800,160
806045.937538147,24.57457126640692,410,800,160
898138.5469436646,26.730313897132874,420,800,160
935919.713973999,27.20696842947671,430,800,160
906733.6320877075,25.75947818430987,440,800,160
967573.5950469971,26.87704430686103,450,800,160
987142.0383453369,26.82451191155807,460,800,160
934891.2954330444,24.864130197687352,470,800,160
728019.8812484741,18.958851074179012,480,800,160
1002173.9721298218,25.565662554332185,490,800,160
1077585.220336914,26.93963050842285,500,800,160
1105105.4239273071,27.08591725312027,510,800,160
1093171.9779968262,26.278172548000633,520,800,160
1086668.8251495361,25.628981725224907,530,800,160
912583.5418701172,21.124619024771228,540,800,160
1173529.8871994019,26.67113379998641,550,800,160
1191633.2960128784,26.59895750028746,560,800,160
1078778.0284881592,23.657412905442083,570,800,160
1064473.4859466553,22.941238921264123,580,800,160
1264325.5710601807,26.786558708902128,590,800,160
1274996.3998794556,26.562424997488655,600,800,160
