Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
5045.127868652344,49.95176107576578,201,2000,1
5296.30184173584,50.44096992129371,210,2000,1
5396.6522216796875,49.06047474254262,220,2000,1
6897.687911987305,59.97989488684613,230,2000,1
6054.3060302734375,50.45255025227865,240,2000,1
5849.242210388184,46.79393768310547,250,2000,1
5705.499649047852,43.88845883882962,260,2000,1
7130.40828704834,52.81783916332103,270,2000,1
5637.979507446289,40.27128219604492,280,2000,1
7232.904434204102,49.88209954623518,290,2000,1
8339.309692382812,55.59539794921875,300,2000,1
7713.794708251953,49.76641747259324,310,2000,1
6467.151641845703,40.419697761535645,320,2000,1
7712.888717651367,46.744780106977984,330,2000,1
7533.860206604004,44.31682474472944,340,2000,1
7561.588287353516,43.209075927734375,350,2000,1
9359.097480773926,51.9949860042996,360,2000,1
10256.147384643555,55.43863451158678,370,2000,1
9527.46868133545,50.14457200702867,380,2000,1
9465.217590332031,48.53957738631811,390,2000,1
10973.548889160156,54.86774444580078,400,2000,1
8873.391151428223,43.28483488501572,410,2000,1
5749.8931884765625,27.380443754650297,420,2000,1
10661.673545837402,49.589179282964665,430,2000,1
10776.853561401367,48.98569800636985,440,2000,1
10140.585899353027,45.06927066379123,450,2000,1
10466.766357421875,45.50767981487772,460,2000,1
9202.6948928833,39.160403799503406,470,2000,1
8549.761772155762,35.624007383982345,480,2000,1
11878.705024719238,48.48451030497648,490,2000,1
12345.004081726074,49.3800163269043,500,2000,1
12852.52571105957,50.40206161199832,510,2000,1
13840.770721435547,53.23373354398288,520,2000,1
12543.678283691406,47.33463503279776,530,2000,1
11973.309516906738,44.34559080335829,540,2000,1
15277.457237243652,55.55438995361328,550,2000,1
13802.337646484375,49.29406302315848,560,2000,1
14528.131484985352,50.97589994731703,570,2000,1
15166.664123535156,52.298841805293634,580,2000,1
6766.939163208008,22.938776824433926,590,2000,1
14613.866806030273,48.71288935343425,600,2000,1
7983.827590942383,26.176483904729125,610,2000,1
6189.179420471191,19.965094904745776,620,2000,1
14661.765098571777,46.545286027211986,630,2000,1
9451.17473602295,29.534921050071716,640,2000,1
17518.61572265625,53.90343299278846,650,2000,1
19647.26448059082,59.537165092699446,660,2000,1
17511.17706298828,52.27217033727845,670,2000,1
17428.159713745117,51.25929327572093,680,2000,1
17751.93214416504,51.454875780188516,690,2000,1
15772.104263305664,45.063155038016184,700,2000,1
18770.217895507812,52.87385322678258,710,2000,1
18959.903717041016,52.66639921400282,720,2000,1
17775.17795562744,48.699117686650524,730,2000,1
14222.69344329834,38.439712008914434,740,2000,1
17862.915992736816,47.63444264729817,750,2000,1
15595.817565917969,41.04162517346833,760,2000,1
20334.267616271973,52.81627952278435,770,2000,1
9561.610221862793,24.516949286827675,780,2000,1
19850.707054138184,50.25495456743843,790,2000,1
17983.222007751465,44.95805501937866,800,2000,1
17938.11321258545,44.29163756193938,810,2000,1
18798.089027404785,45.84899762781655,820,2000,1
12148.714065551758,29.274009796510256,830,2000,1
19598.722457885742,46.66362489972796,840,2000,1
20605.921745300293,48.48452175364774,850,2000,1
20975.017547607422,48.77911057583122,860,2000,1
23116.064071655273,53.14037717621902,870,2000,1
23995.184898376465,54.534511132673785,880,2000,1
13208.746910095215,29.682577326056663,890,2000,1
24426.817893981934,54.281817542182075,900,2000,1
26453.518867492676,58.13960190657731,910,2000,1
20749.235153198242,45.107032941735305,920,2000,1
22446.99001312256,48.27309680241411,930,2000,1
18318.891525268555,38.976364947379906,940,2000,1
24546.074867248535,51.675947088944284,950,2000,1
24847.26905822754,51.76514387130737,960,2000,1
28561.997413635254,58.89071631677371,970,2000,1
20674.705505371094,42.19327654157366,980,2000,1
24083.995819091797,48.65453700826626,990,2000,1
24286.508560180664,48.57301712036133,1000,2000,1
