Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
397868.2518005371,28.13778301276783,201,800,140
263021.94595336914,17.892649384582935,210,800,140
365791.36848449707,23.752686265227084,220,800,140
446465.3253555298,27.730765550032906,230,800,140
472909.4982147217,28.149374893733434,240,800,140
486245.63217163086,27.785464695521764,250,800,140
513365.22102355957,28.206880276019756,260,800,140
545396.2087631226,28.856942262599073,270,800,140
544288.6590957642,27.769829545702255,280,800,140
585099.8640060425,28.82265339931244,290,800,140
423353.07598114014,20.159670284816197,300,800,140
547314.9538040161,25.22188727207448,310,800,140
556519.2699432373,24.844610265323094,320,800,140
506688.40408325195,21.934562947326924,330,800,140
649921.5602874756,27.307628583507377,340,800,140
682767.2958374023,27.868052891322545,350,800,140
618760.4665756226,24.553986768873912,360,800,140
535780.8589935303,20.686519652259854,370,800,140
647500.6341934204,24.342129105015808,380,800,140
583820.9390640259,21.385382383297653,390,800,140
595813.1074905396,21.279039553233556,400,800,140
601886.2962722778,20.971647953737904,410,800,140
731569.7431564331,24.88332459715759,420,800,140
701059.4367980957,23.291011189305504,430,800,140
824375.6055831909,26.765441739713992,440,800,140
878940.7968521118,27.902882439749582,450,800,140
913459.1341018677,28.368296090120115,460,800,140
932735.013961792,28.350608327106137,470,800,140
692304.277420044,20.604293970834643,480,800,140
866171.4553833008,25.25281211030031,490,800,140
834992.1941757202,23.856919833592006,500,800,140
984895.920753479,27.58812102950922,510,800,140
1009274.697303772,27.727326849004726,520,800,140
1016634.1066360474,27.402536567009363,530,800,140
1053608.1552505493,27.873231620384907,540,800,140
1083600.13961792,28.145458171894024,550,800,140
1096229.8154830933,27.965046313344217,560,800,140
1107083.9643478394,27.74646527187567,570,800,140
1157173.776626587,28.50181715829032,580,800,140
905495.4767227173,21.924829944859983,590,800,140
984023.3325958252,23.429126966567267,600,800,140
