Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
261789.4411087036,25.919746644426105,201,800,100
255897.95112609863,24.371233440580824,210,800,100
224537.58716583252,20.41250792416659,220,800,100
277820.4679489136,24.158301560775094,230,800,100
352429.79526519775,29.36914960543315,240,800,100
284731.93645477295,22.778554916381836,250,800,100
293936.1095428467,22.610469964834355,260,800,100
351043.34354400635,26.00321063288936,270,800,100
276593.35136413574,19.756667954581125,280,800,100
309203.4578323364,21.324376402230097,290,800,100
416886.2581253052,27.792417208353683,300,800,100
475440.28759002686,30.673566941292055,310,800,100
427718.09101104736,26.73238068819046,320,800,100
529052.4005889893,32.06378185387814,330,800,100
495909.5001220703,29.17114706600414,340,800,100
498503.9234161377,28.485938480922155,350,800,100
585634.9468231201,32.535274823506676,360,800,100
560152.268409729,30.27850099512049,370,800,100
606689.8822784424,31.931046435707493,380,800,100
643381.5956115723,32.99392798008063,390,800,100
609881.7586898804,30.49408793449402,400,800,100
535976.767539978,26.145208172681855,410,800,100
606240.5109405518,28.868595759073898,420,800,100
591350.9368896484,27.504694739053416,430,800,100
630716.609954834,28.668936816128817,440,800,100
620480.465888977,27.576909595065644,450,800,100
681734.4427108765,29.640627943951152,460,800,100
693340.1584625244,29.50383653032019,470,800,100
706930.6373596191,29.45544322331746,480,800,100
729098.36769104,29.75911704861388,490,800,100
785343.2178497314,31.413728713989258,500,800,100
774411.4398956299,30.369076074338427,510,800,100
655125.7371902466,25.197143738086407,520,800,100
879594.5882797241,33.1922486143292,530,800,100
898373.7230300903,33.27310085296631,540,800,100
886744.1654205322,32.245242378928445,550,800,100
925299.1199493408,33.04639714104789,560,800,100
946996.3073730469,33.22794060958059,570,800,100
957502.3651123047,33.017322934907064,580,800,100
982351.541519165,33.30005225488695,590,800,100
986394.7629928589,32.8798254330953,600,800,100
