Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
4137.015342712402,40.96054794764754,201,1600,1
4897.785186767578,46.64557320731027,210,1600,1
5403.5186767578125,49.122897061434664,220,1600,1
6293.821334838867,54.72888117251188,230,1600,1
5758.023262023926,47.983527183532715,240,1600,1
6322.383880615234,50.579071044921875,250,1600,1
6407.809257507324,49.29084044236403,260,1600,1
6654.31022644043,49.2911868625217,270,1600,1
7285.523414611816,52.03945296151298,280,1600,1
7257.819175720215,50.05392534979458,290,1600,1
7192.063331604004,47.94708887736003,300,1600,1
8190.035820007324,52.838940774240804,310,1600,1
7109.260559082031,44.432878494262695,320,1600,1
8093.619346618652,49.05223846435547,330,1600,1
7227.087020874023,42.512276593376605,340,1600,1
8599.710464477539,49.14120265415737,350,1600,1
8657.93228149414,48.09962378607856,360,1600,1
8981.752395629883,48.55001294935072,370,1600,1
9850.358963012695,51.84399454217208,380,1600,1
8903.312683105469,45.65801375951523,390,1600,1
10944.271087646484,54.72135543823242,400,1600,1
9205.222129821777,44.90352258449647,410,1600,1
9613.847732543945,45.78022729782831,420,1600,1
11316.061019897461,52.63284195301145,430,1600,1
11014.986038208008,50.068118355490945,440,1600,1
10620.450973510742,47.20200432671441,450,1600,1
11828.398704528809,51.427820454473085,460,1600,1
12102.532386779785,51.50013781608419,470,1600,1
11920.18985748291,49.66745773951213,480,1600,1
12438.535690307617,50.76953342982701,490,1600,1
12620.019912719727,50.480079650878906,500,1600,1
12765.192985534668,50.05958033543006,510,1600,1
12844.204902648926,49.40078808711125,520,1600,1
14211.702346801758,53.629065459629274,530,1600,1
12215.447425842285,45.24239787348994,540,1600,1
11412.930488586426,41.50156541304155,550,1600,1
10578.89461517334,37.78176648276193,560,1600,1
16223.502159118652,56.92456897936369,570,1600,1
14944.624900817871,51.53318931316507,580,1600,1
15902.018547058105,53.90514761714612,590,1600,1
14774.250984191895,49.24750328063965,600,1600,1
15279.960632324219,50.098231581390884,610,1600,1
15034.031867980957,48.496876993486964,620,1600,1
16803.14540863037,53.34331875755673,630,1600,1
16453.003883361816,51.415637135505676,640,1600,1
17621.207237243652,54.21909919151893,650,1600,1
16575.241088867188,50.22800329959753,660,1600,1
17993.831634521484,53.71293025230293,670,1600,1
18602.585792541504,54.71348762512207,680,1600,1
16591.09592437744,48.090133114137515,690,1600,1
18335.795402526855,52.387986864362446,700,1600,1
17789.363861083984,50.11088411572954,710,1600,1
22184.96799468994,61.62491109636095,720,1600,1
18464.016914367676,50.58634771059637,730,1600,1
18709.01584625244,50.564907692574174,740,1600,1
18442.273139953613,49.1793950398763,750,1600,1
20379.066467285156,53.629122282329355,760,1600,1
14045.61996459961,36.482129778180806,770,1600,1
16149.663925170898,41.409394679925384,780,1600,1
18529.772758483887,46.91081711008579,790,1600,1
18610.262870788574,46.525657176971436,800,1600,1
20046.496391296387,49.49752195381824,810,1600,1
20638.489723205566,50.3377798126965,820,1600,1
22860.86082458496,55.086411625505924,830,1600,1
22371.983528137207,53.26662744794573,840,1600,1
22627.806663513184,53.24189803179573,850,1600,1
22346.878051757812,51.96948384129724,860,1600,1
22700.214385986328,52.184400887324884,870,1600,1
22094.106674194336,50.213878804987125,880,1600,1
21463.465690612793,48.23250716991639,890,1600,1
24351.66835784912,54.11481857299805,900,1600,1
24001.95598602295,52.751551617632856,910,1600,1
24700.355529785156,53.69642506475034,920,1600,1
23495.22113800049,50.52735728602256,930,1600,1
23947.715759277344,50.95258672186669,940,1600,1
24616.646766662598,51.824519508763366,950,1600,1
23896.336555480957,49.78403449058533,960,1600,1
18698.430061340332,38.55346404400069,970,1600,1
25991.368293762207,53.04360876278001,980,1600,1
25790.45295715332,52.10192516596631,990,1600,1
26523.876190185547,53.047752380371094,1000,1600,1
