Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
138948.91738891602,68.78659276679011,201,800,20
77217.31662750244,36.77015077500117,210,800,20
149677.63423919678,68.035288290544,220,800,20
156876.15871429443,68.2070255279541,230,800,20
162416.26739501953,67.6734447479248,240,800,20
162346.64916992188,64.93865966796875,250,800,20
175810.00328063965,67.61923203101526,260,800,20
185013.2703781128,68.5234334733751,270,800,20
191894.14978027344,68.53362492152623,280,800,20
190956.7356109619,65.84715021067653,290,800,20
202662.25337982178,67.5540844599406,300,800,20
211274.26624298096,68.15298911063903,310,800,20
218315.67287445068,68.22364777326584,320,800,20
226562.2615814209,68.65523078224876,330,800,20
232821.08306884766,68.47678913789636,340,800,20
239489.12620544434,68.42546463012695,350,800,20
246631.19316101074,68.50866476694743,360,800,20
252780.1513671875,68.3189598289696,370,800,20
258614.27783966064,68.05638890517385,380,800,20
266523.4088897705,68.33933561276167,390,800,20
258642.19665527344,64.66054916381836,400,800,20
283747.19619750977,69.20663321890483,410,800,20
274174.6664047241,65.27968247731526,420,800,20
295512.17555999756,68.72376175813898,430,800,20
206356.50157928467,46.89920490438288,440,800,20
205972.69535064697,45.771710077921554,450,800,20
314327.4784088135,68.3320605236551,460,800,20
321247.1008300781,68.350446985123,470,800,20
327467.8945541382,68.22247803211212,480,800,20
328211.28368377686,66.98189462934222,490,800,20
343312.02507019043,68.66240501403809,500,800,20
349970.6029891968,68.62168686062682,510,800,20
350662.80364990234,67.43515454805815,520,800,20
361685.1806640625,68.24248691774764,530,800,20
372627.4013519287,69.00507432443123,540,800,20
361242.4850463867,65.68045182661578,550,800,20
375934.69619750977,67.13119574955532,560,800,20
388601.35078430176,68.17567557619329,570,800,20
397052.59799957275,68.45734448268496,580,800,20
401298.1653213501,68.01663819005934,590,800,20
409736.4902496338,68.28941504160564,600,800,20
