Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
292971.3726043701,48.345110990820146,201,800,60
280563.71212005615,44.53392255873907,210,800,60
270072.03102111816,40.92000470016942,220,800,60
322911.5962982178,46.798782072205476,230,800,60
352883.9111328125,49.01165432400174,240,800,60
371921.61083221436,49.589548110961914,250,800,60
385073.3995437622,49.36838455689259,260,800,60
400118.0171966553,49.39728607366114,270,800,60
416145.51544189453,49.541132790701724,280,800,60
428503.51333618164,49.253277394963405,290,800,60
442757.0581436157,49.19522868262398,300,800,60
460749.38774108887,49.54294491839665,310,800,60
461723.7091064453,48.09621969858805,320,800,60
493712.9020690918,49.869990107989075,330,800,60
500673.34175109863,49.085621740303786,340,800,60
521715.21186828613,49.68716303507487,350,800,60
534051.251411438,49.44918994550351,360,800,60
544367.241859436,49.042093861210454,370,800,60
564719.6054458618,49.53680749525104,380,800,60
568889.3795013428,48.62302388900366,390,800,60
592537.9753112793,49.37816460927328,400,800,60
610259.5806121826,49.61460004977094,410,800,60
625335.2165222168,49.629779089064826,420,800,60
600663.4473800659,46.563057936439215,430,800,60
654710.9365463257,49.599313374721646,440,800,60
664454.6747207642,49.21886479413068,450,800,60
676355.8864593506,49.01129612024279,460,800,60
697238.1353378296,49.449513144526925,470,800,60
706317.8539276123,49.049850967195304,480,800,60
727589.2972946167,49.49587056425965,490,800,60
746786.0221862793,49.78573481241862,500,800,60
754851.508140564,49.33669987846824,510,800,60
769866.3473129272,49.350406879033805,520,800,60
787496.1137771606,49.52805747026168,530,800,60
803536.2720489502,49.60100444746606,540,800,60
772195.7921981812,46.79974498170795,550,800,60
662987.232208252,39.46352572668166,560,800,60
830649.2805480957,48.57598131860209,570,800,60
847434.5684051514,48.703136115238586,580,800,60
789447.2122192383,44.60153741351628,590,800,60
873899.1260528564,48.549951447380906,600,800,60
