Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
216457.74841308594,26.78932529864925,201,800,80
293445.7540512085,34.934018339429585,210,800,80
225889.61124420166,25.669274005022913,220,800,80
324866.1518096924,35.31153824018396,230,800,80
314560.2226257324,32.76668985684713,240,800,80
369427.41870880127,36.94274187088013,250,800,80
391585.92224121094,37.65249252319336,260,800,80
381944.25106048584,35.36520843152647,270,800,80
353887.7010345459,31.597116163798738,280,800,80
341723.370552063,29.458911254488193,290,800,80
286349.34425354004,23.86244535446167,300,800,80
430383.68225097656,34.708361471852946,310,800,80
407743.64471435547,31.85497224330902,320,800,80
420389.986038208,31.847726215015758,330,800,80
510769.9394226074,37.55661319283878,340,800,80
479999.13692474365,34.28565263748169,350,800,80
491815.447807312,34.153850542174446,360,800,80
539598.8941192627,36.45938473778802,370,800,80
277194.1900253296,18.236459870087472,380,800,80
521733.59394073486,33.444461150047104,390,800,80
217134.28497314453,13.570892810821533,400,800,80
219503.21197509766,13.384342193603516,410,800,80
517911.14807128906,30.828044528052924,420,800,80
626102.4236679077,36.401303701622545,430,800,80
644890.1653289795,36.64148666641928,440,800,80
657588.5057449341,36.532694763607445,450,800,80
677527.5468826294,36.82214928709943,460,800,80
684516.5252685547,36.41045347173163,470,800,80
696432.4951171875,36.272525787353516,480,800,80
709224.6770858765,36.18493250438145,490,800,80
699738.335609436,34.9869167804718,500,800,80
743430.5667877197,36.44267484253528,510,800,80
751665.3060913086,36.13775510054368,520,800,80
773929.762840271,36.506120888692024,530,800,80
794075.4413604736,36.76275191483675,540,800,80
782963.8242721558,35.58926473964344,550,800,80
818255.5437088013,36.529265344142914,560,800,80
832580.9955596924,36.516710331565456,570,800,80
849466.347694397,36.6149287799309,580,800,80
863442.8024291992,36.58655942496607,590,800,80
868419.8141098022,36.18415892124176,600,800,80
