Tiempo total(ms),Promedio(ms),Sensores,Eventos,Request a Sensor por Prueba
373519.6828842163,20.545637122344132,201,800,180
474654.1976928711,25.113978713908526,210,800,180
537710.3328704834,27.157087518711286,220,800,180
540661.6449356079,26.118920045198447,230,800,180
551345.6106185913,25.525259750860712,240,800,180
584256.911277771,25.9669738345676,250,800,180
529751.5869140625,22.638956705729168,260,800,180
634953.4034729004,26.129769690242817,270,800,180
655267.9061889648,26.00269469003829,280,800,180
661006.9513320923,25.325936832647212,290,800,180
698336.8158340454,25.86432651237205,300,800,180
741895.604133606,26.591240291527097,310,800,180
748888.0395889282,26.00305693017112,320,800,180
773379.0397644043,26.039698308565804,330,800,180
755240.9172058105,24.68107572568008,340,800,180
826870.7752227783,26.2498658800882,350,800,180
757515.5019760132,23.38010808567942,360,800,180
859498.8346099854,25.810775814113676,370,800,180
906700.5395889282,26.511711683886787,380,800,180
759583.3778381348,21.640552075160535,390,800,180
927491.5218353271,25.763653384314644,400,800,180
988529.8252105713,26.789426157468057,410,800,180
959354.2575836182,25.379742264116885,420,800,180
964328.5751342773,24.918051037061428,430,800,180
1033624.0530014038,26.10161750003545,440,800,180
1047440.9580230713,25.862739704273363,450,800,180
1020431.8523406982,24.64811237537918,460,800,180
1099083.948135376,25.983072059937967,470,800,180
1090127.6588439941,25.234436547314676,480,800,180
1123606.4195632935,25.47860361821527,490,800,180
1165205.7647705078,25.89346143934462,500,800,180
1158585.4530334473,25.241513137983603,510,800,180
1176960.849761963,25.14873610602485,520,800,180
1175082.1828842163,24.63484660134625,530,800,180
1236366.9395446777,25.439648961824645,540,800,180
1282267.0221328735,25.904384285512595,550,800,180
1311288.6905670166,26.017632749345566,560,800,180
1246963.1433486938,24.30727374948721,570,800,180
1313710.8325958252,25.16687418765949,580,800,180
1400625.0619888306,26.37711981146574,590,800,180
1422443.7236785889,26.341550438492384,600,800,180
